1.000000,9.834181,15.165819,0.370805
2.000000,18.538593,6.461407,0.579450
3.000000,23.437339,1.562661,0.752144
4.000000,24.763396,0.236604,0.889105
5.000000,24.893810,0.106190,0.999961
6.000000,24.926635,0.073365,0.909251
7.000000,25.055486,0.055486,0.833298
8.000000,25.067434,0.067434,0.769343
9.000000,24.925107,0.074893,0.713529
10.000000,25.181337,0.181337,0.666567
11.000000,24.939067,0.060933,0.624947
12.000000,24.964342,0.035658,0.587928
13.000000,24.903279,0.096721,0.556062
14.000000,24.908166,0.091834,0.525930
15.000000,24.943744,0.056256,0.499465
16.000000,25.028902,0.028902,0.476422
17.000000,25.133875,0.133875,0.454503
18.000000,25.010613,0.010613,0.435102
19.000000,24.845871,0.154129,0.417013
20.000000,25.041444,0.041444,0.399209
21.000000,24.882812,0.117188,0.384219
22.000000,24.968615,0.031385,0.369947
23.000000,24.883190,0.116810,0.356997
24.000000,24.923475,0.076525,0.344877
25.000000,25.020949,0.020949,0.332457
26.000000,25.001835,0.001835,0.323209
27.000000,25.007420,0.007420,0.313273
28.000000,24.939805,0.060195,0.302781
29.000000,25.112079,0.112079,0.294059
30.000000,24.956931,0.043069,0.286001
31.000000,25.184419,0.184419,0.278360
32.000000,24.933543,0.066457,0.270575
33.000000,25.221277,0.221277,0.263314
34.000000,24.743712,0.256288,0.256376
35.000000,24.895430,0.104570,0.249718
36.000000,25.327089,0.327089,0.245009
37.000000,24.983452,0.016548,0.237967
38.000000,25.060471,0.060471,0.233005
39.000000,25.027291,0.027291,0.227383
40.000000,24.933641,0.066359,0.222651
41.000000,24.986998,0.013002,0.216726
42.000000,25.048336,0.048336,0.212962
43.000000,25.014809,0.014809,0.208858
44.000000,25.041754,0.041754,0.204551
45.000000,25.281715,0.281715,0.200354
46.000000,25.199428,0.199428,0.196110
47.000000,25.376231,0.376231,0.192125
48.000000,24.654793,0.345207,0.187282
49.000000,25.311965,0.311965,0.185680
